"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"151",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,114,151,1.04732094092038,"GPR"
"152",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,105,152,1.02697620634826,"GPR"
"153",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,82,153,1.0347098182727,"GPR"
"154",6,6,1,2,2,128,1,1.18258966570151e-10,16588,101,154,1.01508691320631,"GPR"
"155",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,71,155,1.1130112571198,"GPR"
"156",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,52,156,1.04732094092038,"GPR"
"157",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,59,157,1.0347098182727,"GPR"
"158",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,116,158,1.0511551928136,"GPR"
"159",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,55,159,1.0761594320093,"GPR"
"160",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,3,160,1.07835653189674,"GPR"
"161",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,64,161,1.01488180994275,"GPR"
"162",6,6,1,4,2,1024,8,1.20170053330998e-10,12448,57,162,1.03149090537029,"GPR"
"163",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,61,163,1.07835653189674,"GPR"
"164",2,2,1,4,1,256,1,1.6106228353854e-10,6230,102,164,1.38249319246429,"GPR"
"165",6,6,1,2,2,256,1,1.17919974204394e-10,17258,90,165,1.01217714049192,"GPR"
"166",5,5,1,4,1,256,2,1.22388925799567e-10,21363,12,166,1.05053680497726,"GPR"
"167",6,6,1,2,2,128,1,1.18258966570151e-10,16588,42,167,1.01508691320631,"GPR"
"168",6,6,1,2,1,128,1,1.19599215511143e-10,17604,3,168,1.02659106549089,"GPR"
"169",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,70,169,1.04732094092038,"GPR"
"170",5,5,1,2,2,128,4,1.23513687334701e-10,11307,22,170,1.06019130093562,"GPR"
"171",6,6,1,2,2,256,1,1.17919974204394e-10,17258,77,171,1.01217714049192,"GPR"
"172",6,6,1,2,2,256,1,1.17919974204394e-10,17258,83,172,1.01217714049192,"GPR"
"173",6,6,1,4,1,128,1,1.21238783742256e-10,9680,89,173,1.04066445293017,"GPR"
"174",6,6,1,2,2,256,1,1.17919974204394e-10,17258,48,174,1.01217714049192,"GPR"
"175",6,6,1,2,2,256,1,1.17919974204394e-10,17258,96,175,1.01217714049192,"GPR"
"176",6,6,1,4,1,1024,4,1.18096841715479e-10,16041,19,176,1.01369529933502,"GPR"
"177",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,65,177,1.01488180994275,"GPR"
"178",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,25,178,1.07835653189674,"GPR"
"179",6,6,1,2,1,128,1,1.19599215511143e-10,17604,47,179,1.02659106549089,"GPR"
"180",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,36,180,1.02697620634826,"GPR"
"181",6,6,1,2,1,128,1,1.19599215511143e-10,17604,107,181,1.02659106549089,"GPR"
"182",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,114,182,1.02697620634826,"GPR"
"183",6,6,1,4,2,1024,8,1.20170053330998e-10,12448,71,183,1.03149090537029,"GPR"
"184",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,70,184,1.04732094092038,"GPR"
"185",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,41,185,1.07835653189674,"GPR"
"186",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,101,186,1.04732094092038,"GPR"
"187",6,6,1,4,1,256,1,1.19886821794317e-10,8697,110,187,1.02905976095368,"GPR"
"188",6,6,1,4,2,128,1,1.1965589478547e-10,17968,86,188,1.02707757734946,"GPR"
"189",6,6,1,2,1,256,1,1.18202032710546e-10,19283,107,189,1.01459821609115,"GPR"
"190",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,115,190,1.0761594320093,"GPR"
"191",6,6,1,2,2,1024,2,1.16501321248061e-10,13752,9,191,1,"GPR"
"192",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,114,192,1.07835653189674,"GPR"
"193",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,55,193,1.07835653189674,"GPR"
"194",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,25,194,1.07835653189674,"GPR"
"195",6,3,2,4,2,1024,8,1.54271757008455e-10,17009,18,195,1.32420607213519,"GPR"
"196",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,33,196,1.02697620634826,"GPR"
"197",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,69,197,1.02697620634826,"GPR"
"198",6,6,1,4,1,128,1,1.21238783742256e-10,9680,58,198,1.04066445293017,"GPR"
"199",6,6,1,2,2,1024,4,1.17842155236017e-10,12261,7,199,1.01150917408997,"GPR"
"200",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,117,200,1.04732094092038,"GPR"
